paper_id,title,status,n_pages,n_tokens,n_chars,error
paper_01,Effect of Private Deliberation: Deception of Large Language Models in Game Play,OK,23,18467,75509,
paper_02,Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”,OK,21,10231,48111,
paper_03,"MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",OK,18,22270,82272,
paper_04,Evaluating Negotiation Capabilities of Large Language Models: From Ultimatum Games to Nash Bargaining,OK,6,5385,20797,
paper_05,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,OK,23,23834,90061,
paper_06,Game of Thoughts: Iterative Reasoning in Game-Theoretic Domains with Large Language Models,OK,10,17047,52766,
paper_07,DO LLM AGENTS HAVE REGRET? A CASE STUDY IN ONLINE LEARNING AND GAMES,OK,92,88956,244180,
paper_08,COMPETING LARGE LANGUAGE MODELS IN MULTI-AGENT GAMING ENVIRONMENTS,OK,43,31870,106027,
paper_09,Learning Strategic Language Agents in the Werewolf Game with Iterative Latent Space Policy Optimization,OK,23,22762,91282,
paper_10,The Illusion of Randomness: How LLMs Fail to Emulate Stochastic Decision-Making in Rock-Paper-Scissors Games?,OK,20,17807,71005,
paper_11,Exploring the Integration of Large Language Models and Monte Carlo Tree Search in Team Formation for Turn-Based Games: a case-study with the VGC AI Competition,OK,11,14485,61578,
paper_12,PokéChamp: an Expert-level Minimax Language Agent,OK,25,15226,63547,
paper_13,PokerBench: Training Large Language Models to Become Professional Poker Players,OK,8,10956,42239,
paper_14,Cooperate or Collapse: Emergence of Sustainable Cooperation in a Society of LLM Agents,OK,45,37647,127708,
paper_15,Can LLMs Play Ô Ǎn Quan? A Study of Multi-Step Planning and Decision Making,OK,6,6874,25611,
paper_16,Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method,OK,24,20674,74938,
paper_17,EAI: Emotional Decision-Making of LLMs in Strategic Games and Ethical Dilemmas,OK,34,22783,87993,
