paper_id,title,status,n_tokens_raw,n_tokens_processed,tokens_removed,pct_removed,sections_removed,warnings,error
paper_01,Effect of Private Deliberation: Deception of Large Language Models in Game Play,WARNING,18467,12903,5564,30.1,"references (desde línea 1194: 'References') | acknowledgments (líneas 1163-1194, 31 líneas)",No se encontró 'Abstract' ni 'Introduction' en las primeras 100 líneas — bloque de autor no eliminado | Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_02,Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”,WARNING,10231,8158,2073,20.3,"pre_abstract (líneas 0-39, 39 líneas eliminadas) | references (desde línea 510: 'References') | acknowledgments (líneas 492-510, 18 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_03,"MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",WARNING,22270,9905,12365,55.5,"pre_abstract (líneas 0-16, 16 líneas eliminadas) | appendix (desde línea 1097: 'Appendix') | references (desde línea 941: 'References') | acknowledgments (líneas 938-941, 3 líneas)",Sección 'disclaimer' no detectada,
paper_04,Evaluating Negotiation Capabilities of Large Language Models: From Ultimatum Games to Nash Bargaining,WARNING,5385,3111,2274,42.2,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | references (desde línea 242: 'References') | acknowledgments (líneas 237-242, 5 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_05,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,WARNING,23834,9142,14692,61.6,"pre_abstract (líneas 0-11, 11 líneas eliminadas) | references (desde línea 1102: 'References') | acknowledgments (líneas 1094-1102, 8 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_06,Game of Thoughts: Iterative Reasoning in Game-Theoretic Domains with Large Language Models,WARNING,17047,12766,4281,25.1,"pre_abstract (líneas 0-27, 27 líneas eliminadas) | references (desde línea 732: 'REFERENCES')",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'acknowledgments' no detectada,
paper_07,DO LLM AGENTS HAVE REGRET? A CASE STUDY IN ONLINE LEARNING AND GAMES,WARNING,88956,19777,69179,77.8,"pre_abstract (líneas 0-9, 9 líneas eliminadas) | acknowledgments (líneas 1025-5438, 4413 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_08,COMPETING LARGE LANGUAGE MODELS IN MULTI-AGENT GAMING ENVIRONMENTS,WARNING,31870,10648,21222,66.6,"pre_abstract (líneas 0-17, 17 líneas eliminadas) | acknowledgments (líneas 628-1126, 498 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada | Sección 'references' no detectada | Sección 'bibliography' no detectada,
paper_09,Learning Strategic Language Agents in the Werewolf Game with Iterative Latent Space Policy Optimization,WARNING,22762,9770,12992,57.1,"pre_abstract (líneas 0-4, 4 líneas eliminadas) | references (desde línea 798: 'References') | acknowledgments (líneas 781-798, 17 líneas)",Sección 'disclaimer' no detectada | Sección 'appendix' no detectada,
paper_10,The Illusion of Randomness: How LLMs Fail to Emulate Stochastic Decision-Making in Rock-Paper-Scissors Games?,WARNING,17807,7437,10370,58.2,"pre_abstract (líneas 0-11, 11 líneas eliminadas) | appendix (desde línea 926: 'Appendix') | references (desde línea 732: 'References') | acknowledgments (líneas 688-732, 44 líneas)",Sección 'disclaimer' no detectada,
