subset,system,model_tag,query_id,level,rep,status,latency_s,cost_usd,judge_score,n_iterations
C1,baseline,gemini,Q01,factual,1,OK,3.382,0.06002,5,
C1,baseline,gemini,Q01,factual,2,OK,2.611,0.060055,5,
C1,baseline,gemini,Q02,factual,1,OK,3.221,0.060188,5,
C1,baseline,gemini,Q02,factual,2,OK,4.541,0.060196,5,
C1,baseline,gemini,Q03,factual,1,OK,3.287,0.060365,5,
C1,baseline,gemini,Q03,factual,2,OK,3.515,0.06008,5,
C1,baseline,gemini,Q04,factual,1,OK,6.923,0.059984,5,
C1,baseline,gemini,Q04,factual,2,OK,11.229,0.059966,5,
C1,baseline,gemini,Q05,factual,1,OK,3.338,0.060209,5,
C1,baseline,gemini,Q05,factual,2,OK,2.997,0.060219,5,
C1,baseline,gemini,Q06,factual,1,OK,4.649,0.060815,5,
C1,baseline,gemini,Q06,factual,2,OK,6.767,0.061385,4,
C1,baseline,gemini,Q07,factual,1,OK,5.18,0.06055,4,
C1,baseline,gemini,Q07,factual,2,OK,4.122,0.060423,5,
C1,baseline,gemini,Q08,factual,1,OK,3.447,0.059932,5,
C1,baseline,gemini,Q08,factual,2,OK,3.163,0.059914,5,
C1,baseline,gemini,Q09,factual,1,OK,5.163,0.060288,5,
C1,baseline,gemini,Q09,factual,2,OK,6.917,0.060616,5,
C1,baseline,gemini,Q10,factual,1,OK,3.299,0.060045,5,
C1,baseline,gemini,Q10,factual,2,OK,2.564,0.05997,5,
C1,baseline,gemini,Q11,factual,1,OK,6.298,0.060527,4,
C1,baseline,gemini,Q11,factual,2,OK,5.723,0.060629,5,
C1,baseline,gemini,Q12,factual,1,OK,4.34,0.060444,5,
C1,baseline,gemini,Q12,factual,2,OK,4.79,0.060454,5,
C1,baseline,gemini,Q13,factual,1,OK,13.305,0.060019,2,
C1,baseline,gemini,Q13,factual,2,OK,12.741,0.059981,5,
C1,baseline,gemini,Q14,factual,1,OK,4.374,0.060065,5,
C1,baseline,gemini,Q14,factual,2,OK,4.688,0.060073,5,
C1,baseline,gemini,Q15,factual,1,OK,5.092,0.06071,4,
C1,baseline,gemini,Q15,factual,2,OK,3.645,0.060545,4,
C1,baseline,gemini,Q16,factual,1,OK,5.283,0.060157,5,
C1,baseline,gemini,Q16,factual,2,OK,5.532,0.060137,5,
C1,baseline,gemini,Q17,comparison,1,OK,11.02,0.061211,5,
C1,baseline,gemini,Q17,comparison,2,OK,5.497,0.060769,5,
C1,baseline,gemini,Q18,comparison,1,OK,8.328,0.061923,5,
C1,baseline,gemini,Q18,comparison,2,OK,9.048,0.061686,5,
C1,baseline,gemini,Q19,comparison,1,OK,10.247,0.062371,4,
C1,baseline,gemini,Q19,comparison,2,OK,13.078,0.062841,5,
C1,baseline,gemini,Q20,comparison,1,OK,11.226,0.062209,4,
C1,baseline,gemini,Q20,comparison,2,OK,10.619,0.062259,5,
C1,baseline,gemini,Q21,comparison,1,OK,11.453,0.062056,5,
C1,baseline,gemini,Q21,comparison,2,OK,6.915,0.061469,5,
C1,baseline,gemini,Q22,comparison,1,OK,3.772,0.060167,5,
C1,baseline,gemini,Q22,comparison,2,OK,6.073,0.060552,5,
C1,baseline,gemini,Q23,comparison,1,OK,12.392,0.060906,4,
C1,baseline,gemini,Q23,comparison,2,OK,11.095,0.060904,5,
C1,baseline,gemini,Q24,comparison,1,OK,13.525,0.062591,4,
C1,baseline,gemini,Q24,comparison,2,OK,15.248,0.062113,4,
C1,baseline,gemini,Q25,comparison,1,OK,8.413,0.061123,4,
C1,baseline,gemini,Q25,comparison,2,OK,6.594,0.060693,4,
C1,baseline,gemini,Q26,comparison,1,OK,5.669,0.060666,5,
C1,baseline,gemini,Q26,comparison,2,OK,12.208,0.061156,5,
C1,baseline,gemini,Q27,comparison,1,OK,5.505,0.060703,4,
C1,baseline,gemini,Q27,comparison,2,OK,4.684,0.060715,5,
C1,baseline,gemini,Q28,comparison,1,OK,6.011,0.061139,4,
C1,baseline,gemini,Q28,comparison,2,OK,6.821,0.060879,5,
C1,baseline,gemini,Q29,comparison,1,OK,8.152,0.061166,4,
C1,baseline,gemini,Q29,comparison,2,OK,6.203,0.060884,4,
C1,baseline,gemini,Q30,comparison,1,OK,12.31,0.061988,5,
C1,baseline,gemini,Q30,comparison,2,OK,7.824,0.061683,5,
C1,baseline,gemini,Q31,synthesis,1,OK,29.35,0.063569,4,
C1,baseline,gemini,Q31,synthesis,2,OK,17.692,0.062584,4,
C1,baseline,gemini,Q32,synthesis,1,OK,58.343,0.066283,4,
C1,baseline,gemini,Q32,synthesis,2,OK,104.387,0.066986,4,
C1,baseline,gemini,Q33,synthesis,1,OK,55.605,0.062974,4,
C1,baseline,gemini,Q33,synthesis,2,OK,70.501,0.063076,4,
C1,baseline,gemini,Q34,synthesis,1,OK,52.304,0.063712,4,
C1,baseline,gemini,Q34,synthesis,2,OK,69.324,0.064925,5,
C1,baseline,gemini,Q35,synthesis,1,OK,21.821,0.063615,4,
C1,baseline,gemini,Q35,synthesis,2,OK,50.725,0.063345,4,
C1,baseline,gemini,Q36,synthesis,1,OK,17.291,0.062723,4,
C1,baseline,gemini,Q36,synthesis,2,OK,18.654,0.063328,4,
C1,baseline,gemini,Q37,synthesis,1,OK,20.785,0.061969,5,
C1,baseline,gemini,Q37,synthesis,2,OK,19.311,0.062186,5,
C1,baseline,gemini,Q38,synthesis,1,OK,53.139,0.064163,4,
C1,baseline,gemini,Q38,synthesis,2,OK,16.129,0.063748,4,
C1,baseline,gemini,Q39,synthesis,1,OK,48.447,0.066532,4,
C1,baseline,gemini,Q39,synthesis,2,OK,54.953,0.066369,4,
C1,baseline,gemini,Q40,synthesis,1,OK,56.14,0.066035,3,
C1,baseline,gemini,Q40,synthesis,2,OK,68.464,0.067618,3,
C1,baseline,gpt,Q01,factual,1,OK,12.407,0.144646,5,
C1,baseline,gpt,Q01,factual,2,OK,9.733,0.144646,4,
C1,baseline,gpt,Q02,factual,1,OK,9.425,0.145087,5,
C1,baseline,gpt,Q02,factual,2,OK,9.039,0.144893,5,
C1,baseline,gpt,Q03,factual,1,OK,8.999,0.144669,4,
C1,baseline,gpt,Q03,factual,2,OK,9.429,0.144669,4,
C1,baseline,gpt,Q04,factual,1,OK,9.137,0.144545,5,
C1,baseline,gpt,Q04,factual,2,OK,11.467,0.144545,5,
C1,baseline,gpt,Q05,factual,1,OK,11.061,0.144766,4,
C1,baseline,gpt,Q05,factual,2,OK,12.537,0.14478,4,
C1,baseline,gpt,Q06,factual,1,OK,9.293,0.145736,5,
C1,baseline,gpt,Q06,factual,2,OK,8.952,0.145444,5,
C1,baseline,gpt,Q07,factual,1,OK,9.085,0.144935,5,
C1,baseline,gpt,Q07,factual,2,OK,12.44,0.14494,5,
C1,baseline,gpt,Q08,factual,1,OK,11.484,0.144605,5,
C1,baseline,gpt,Q08,factual,2,OK,9.914,0.144605,5,
C1,baseline,gpt,Q09,factual,1,OK,11.309,0.144641,5,
C1,baseline,gpt,Q09,factual,2,OK,9.673,0.144685,5,
C1,baseline,gpt,Q10,factual,1,OK,9.779,0.144604,5,
C1,baseline,gpt,Q10,factual,2,OK,11.051,0.144654,5,
C1,baseline,gpt,Q11,factual,1,OK,11.651,0.144715,4,
C1,baseline,gpt,Q11,factual,2,OK,11.709,0.144711,4,
C1,baseline,gpt,Q12,factual,1,OK,11.832,0.144856,5,
C1,baseline,gpt,Q12,factual,2,OK,9.665,0.144856,5,
C1,baseline,gpt,Q13,factual,1,OK,9.496,0.144635,5,
